"Path","Lines","Dir"
"Assets\Scripts\SceneControllers\PlayingScene\ZoomEnemyFieldCardsElementsPanelController.cs","383","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers\PlayingScene"
"Assets\Scripts\SceneControllers\RoomController.cs","95","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers"
"Assets\Scripts\SceneControllers\RoomCreationDialogController.cs","249","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers"
"Assets\Scripts\SceneControllers\RoomManagerSceneController.cs","513","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers"
"Assets\Scripts\SceneControllers\SettingsController.cs","297","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers"
"Assets\Scripts\SceneControllers\SignInSceneController.cs","139","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers"
"Assets\Scripts\SceneControllers\UploadingSceneController.cs","223","\CardGame\PokemonCardGame\Assets\Scripts\SceneControllers"
"Assets\Scripts\UserClasses\Deck.cs","21","\CardGame\PokemonCardGame\Assets\Scripts\UserClasses"
"Assets\Scripts\UserClasses\Friend.cs","9","\CardGame\PokemonCardGame\Assets\Scripts\UserClasses"
"Assets\Scripts\UserClasses\User.cs","23","\CardGame\PokemonCardGame\Assets\Scripts\UserClasses"
"Assets\Scripts\UserClasses\UserData.cs","25","\CardGame\PokemonCardGame\Assets\Scripts\UserClasses"
"Assets\Scripts\UserClasses\UserSession.cs","17","\CardGame\PokemonCardGame\Assets\Scripts\UserClasses"
